Cohort,Customers,0 - 6 days,7 - 13 days,14 - 20 days,21 - 27 days,28 - 34 days,35 - 41 days,42 - 48 days,49 - 55 days,56 - 62 days,63 - 69 days,70 - 76 days,77 - 83 days,84 - 90 days,91 - 97 days,98 - 104 days,105 - 111 days,112 - 118 days,119 - 125 days,126 - 132 days,133 - 139 days,140 - 146 days,147 - 153 days,154 - 160 days,161 - 167 days,168 - 174 days,175 - 181 days,182 - 188 days,189 - 195 days
07/05/15 - 07/07/15,51 customers,"5.88% orderers (3)
94.12% 1st time (48)"
06/28/15 - 07/04/15,184 customers,"5.98% orderers (11)
70.65% 1st time (130)","2.17% orderers (4)
4.62% 1st time (28)","1.49% orderers (9)
5.12% 1st time (31)","1.16% orderers (7)
5.12% 1st time (31)","1.65% orderers (10)
4.46% 1st time (27)","1.65% orderers (10)
4.95% 1st time (30)","1.16% orderers (7)
4.46% 1st time (27)","1.32% orderers (8)
6.27% 1st time (38)","1.49% orderers (9)
3.63% 1st time (22)","1.16% orderers (7)
4.46% 1st time (27)","0.17% orderers (1)
2.15% 1st time (13)"
03/22/15 - 03/28/15,460 customers,"3.26% orderers (15)
13.91% 1st time (64)","0.65% orderers (3)
7.83% 1st time (36)","0.87% orderers (4)
6.09% 1st time (28)",4.35% 1st time (20),"1.09% orderers (5)
6.52% 1st time (30)","0.22% orderers (1)
5.22% 1st time (24)",5.22% 1st time (24),"0.65% orderers (3)
4.13% 1st time (19)","0.43% orderers (2)
4.78% 1st time (22)","0.22% orderers (1)
4.57% 1st time (21)","0.22% orderers (1)
3.91% 1st time (18)","1.52% orderers (7)
5.22% 1st time (24)","0.65% orderers (3)
5.65% 1st time (26)","1.09% orderers (5)
4.57% 1st time (21)","0.43% orderers (2)
4.78% 1st time (22)",1.96% 1st time (9)
03/15/15 - 03/21/15,532 customers,"1.32% orderers (7)
12.03% 1st time (64)","1.32% orderers (7)
6.39% 1st time (34)","1.32% orderers (7)
6.95% 1st time (37)","0.56% orderers (3)
3.76% 1st time (20)","0.56% orderers (3)
4.7% 1st time (25)","0.75% orderers (4)
5.45% 1st time (29)","1.5% orderers (8)
5.83% 1st time (31)","0.56% orderers (3)
5.08% 1st time (27)","0.19% orderers (1)
4.14% 1st time (22)","0.94% orderers (5)
3.95% 1st time (21)","0.94% orderers (5)
6.2% 1st time (33)","0.94% orderers (5)
4.32% 1st time (23)","0.75% orderers (4)
5.08% 1st time (27)","0.75% orderers (4)
3.38% 1st time (18)","0.75% orderers (4)
4.32% 1st time (23)","0.56% orderers (3)
3.57% 1st time (19)",1.13% 1st time (6)
03/08/15 - 03/14/15,796 customers,"1.76% orderers (14)
14.7% 1st time (117)","1.38% orderers (11)
8.29% 1st time (66)","1.01% orderers (8)
5.28% 1st time (42)","1.01% orderers (8)
5.65% 1st time (45)","0.38% orderers (3)
4.9% 1st time (39)","0.25% orderers (2)
4.9% 1st time (39)","0.25% orderers (2)
4.52% 1st time (36)","0.5% orderers (4)
4.15% 1st time (33)","0.75% orderers (6)
5.28% 1st time (42)","0.13% orderers (1)
3.14% 1st time (25)","0.13% orderers (1)
4.4% 1st time (35)","0.13% orderers (1)
3.39% 1st time (27)","0.63% orderers (5)
3.77% 1st time (30)","0.25% orderers (2)
4.15% 1st time (33)","0.75% orderers (6)
3.77% 1st time (30)","0.25% orderers (2)
3.89% 1st time (31)","0.63% orderers (5)
4.02% 1st time (32)",1.63% 1st time (13)
03/01/15 - 03/07/15,1168 customers,"2.31% orderers (27)
15.15% 1st time (177)","1.03% orderers (12)
7.02% 1st time (82)","1.03% orderers (12)
6.51% 1st time (76)","0.77% orderers (9)
4.79% 1st time (56)","0.51% orderers (6)
4.97% 1st time (58)","0.94% orderers (11)
3.51% 1st time (41)","0.51% orderers (6)
3.94% 1st time (46)","0.43% orderers (5)
4.28% 1st time (50)","0.43% orderers (5)
3.6% 1st time (42)","0.6% orderers (7)
4.62% 1st time (54)","0.68% orderers (8)
3.51% 1st time (41)","0.43% orderers (5)
3.6% 1st time (42)","0.26% orderers (3)
3.34% 1st time (39)","0.17% orderers (2)
3.85% 1st time (45)","0.26% orderers (3)
2.74% 1st time (32)","0.17% orderers (2)
3.68% 1st time (43)","0.34% orderers (4)
4.11% 1st time (48)","0.26% orderers (3)
3.51% 1st time (41)","0.17% orderers (2)
1.97% 1st time (23)"
02/22/15 - 02/28/15,903 customers,"0.44% orderers (4)
10.41% 1st time (94)","1.44% orderers (13)
6.98% 1st time (63)","1.11% orderers (10)
5.98% 1st time (54)","0.78% orderers (7)
4.87% 1st time (44)","0.55% orderers (5)
4.32% 1st time (39)","1.11% orderers (10)
4.65% 1st time (42)","0.33% orderers (3)
3.99% 1st time (36)","0.89% orderers (8)
4.21% 1st time (38)","0.66% orderers (6)
4.65% 1st time (42)","1.33% orderers (12)
3.77% 1st time (34)","0.44% orderers (4)
3.88% 1st time (35)","0.66% orderers (6)
2.99% 1st time (27)","0.33% orderers (3)
4.1% 1st time (37)","0.55% orderers (5)
2.77% 1st time (25)","0.78% orderers (7)
2.66% 1st time (24)","0.66% orderers (6)
3.77% 1st time (34)","1% orderers (9)
4.1% 1st time (37)","0.66% orderers (6)
4.1% 1st time (37)",2.44% 1st time (22),"0.11% orderers (1)
1.55% 1st time (14)"
02/15/15 - 02/21/15,491 customers,"0.41% orderers (2)
14.05% 1st time (69)","1.02% orderers (5)
5.5% 1st time (27)","1.02% orderers (5)
6.31% 1st time (31)","1.02% orderers (5)
4.89% 1st time (24)","0.61% orderers (3)
5.91% 1st time (29)","0.2% orderers (1)
3.26% 1st time (16)","1.02% orderers (5)
3.46% 1st time (17)","1.22% orderers (6)
3.05% 1st time (15)","0.61% orderers (3)
3.67% 1st time (18)","0.41% orderers (2)
3.67% 1st time (18)",3.67% 1st time (18),"0.41% orderers (2)
3.46% 1st time (17)","0.61% orderers (3)
3.26% 1st time (16)","0.2% orderers (1)
2.65% 1st time (13)","0.2% orderers (1)
3.26% 1st time (16)","0.61% orderers (3)
3.67% 1st time (18)","0.41% orderers (2)
2.85% 1st time (14)","0.61% orderers (3)
2.65% 1st time (13)","0.2% orderers (1)
4.48% 1st time (22)","0.2% orderers (1)
2.65% 1st time (13)",2.65% 1st time (13)
02/08/15 - 02/14/15,552 customers,"0.54% orderers (3)
13.04% 1st time (72)","0.36% orderers (2)
4.53% 1st time (25)","0.54% orderers (3)
5.43% 1st time (30)","1.09% orderers (6)
4.89% 1st time (27)","0.54% orderers (3)
3.99% 1st time (22)","0.72% orderers (4)
3.8% 1st time (21)","0.36% orderers (2)
3.8% 1st time (21)","0.18% orderers (1)
4.17% 1st time (23)","1.09% orderers (6)
3.26% 1st time (18)","0.54% orderers (3)
3.08% 1st time (17)","1.09% orderers (6)
3.8% 1st time (21)","0.54% orderers (3)
3.62% 1st time (20)","1.63% orderers (9)
2.36% 1st time (13)","0.36% orderers (2)
3.8% 1st time (21)","1.27% orderers (7)
3.08% 1st time (17)","0.54% orderers (3)
3.26% 1st time (18)","0.72% orderers (4)
3.44% 1st time (19)","0.36% orderers (2)
2.9% 1st time (16)",3.8% 1st time (21),"0.36% orderers (2)
2.54% 1st time (14)","0.18% orderers (1)
2.54% 1st time (14)",1.81% 1st time (10)
02/01/15 - 02/07/15,575 customers,"1.04% orderers (6)
13.57% 1st time (78)","1.39% orderers (8)
6.61% 1st time (38)","0.35% orderers (2)
5.04% 1st time (29)","0.35% orderers (2)
4.7% 1st time (27)","1.57% orderers (9)
4.17% 1st time (24)",3.13% 1st time (18),"0.35% orderers (2)
4% 1st time (23)","0.35% orderers (2)
4% 1st time (23)","0.35% orderers (2)
2.96% 1st time (17)","0.35% orderers (2)
3.3% 1st time (19)","0.35% orderers (2)
3.48% 1st time (20)","0.52% orderers (3)
3.3% 1st time (19)","0.17% orderers (1)
3.13% 1st time (18)","0.52% orderers (3)
4.17% 1st time (24)","0.35% orderers (2)
3.48% 1st time (20)",2.09% 1st time (12),"0.52% orderers (3)
4.17% 1st time (24)","0.35% orderers (2)
2.78% 1st time (16)","0.35% orderers (2)
2.78% 1st time (16)","0.35% orderers (2)
2.43% 1st time (14)","0.35% orderers (2)
3.3% 1st time (19)","0.17% orderers (1)
2.43% 1st time (14)",0.87% 1st time (5)
01/25/15 - 01/31/15,1102 customers,"0.73% orderers (8)
12.07% 1st time (133)","1.09% orderers (12)
4.63% 1st time (51)","0.73% orderers (8)
3.9% 1st time (43)","0.73% orderers (8)
3.45% 1st time (38)","0.64% orderers (7)
3.99% 1st time (44)","0.73% orderers (8)
3.99% 1st time (44)","0.45% orderers (5)
3.18% 1st time (35)","1.09% orderers (12)
3.09% 1st time (34)","0.45% orderers (5)
3.09% 1st time (34)","0.73% orderers (8)
3.45% 1st time (38)","0.54% orderers (6)
2.9% 1st time (32)","0.91% orderers (10)
3.18% 1st time (35)","1% orderers (11)
2.72% 1st time (30)","0.91% orderers (10)
3.18% 1st time (35)","0.91% orderers (10)
2.99% 1st time (33)","0.36% orderers (4)
2% 1st time (22)","0.73% orderers (8)
3.81% 1st time (42)","0.27% orderers (3)
3.09% 1st time (34)","0.45% orderers (5)
2.45% 1st time (27)","0.45% orderers (5)
2.54% 1st time (28)","0.64% orderers (7)
2.99% 1st time (33)","0.73% orderers (8)
2.99% 1st time (33)","0.73% orderers (8)
2.36% 1st time (26)","0.27% orderers (3)
1.72% 1st time (19)"
01/18/15 - 01/24/15,1580 customers,"0.76% orderers (12)
10.7% 1st time (169)","0.63% orderers (10)
6.01% 1st time (95)","0.44% orderers (7)
4.49% 1st time (71)","0.32% orderers (5)
3.8% 1st time (60)","0.38% orderers (6)
3.73% 1st time (59)","0.89% orderers (14)
3.92% 1st time (62)","0.63% orderers (10)
4.43% 1st time (70)","0.51% orderers (8)
3.61% 1st time (57)","0.51% orderers (8)
3.67% 1st time (58)","0.51% orderers (8)
3.67% 1st time (58)","0.51% orderers (8)
2.91% 1st time (46)","0.51% orderers (8)
3.35% 1st time (53)","0.19% orderers (3)
3.35% 1st time (53)","0.44% orderers (7)
4.11% 1st time (65)","0.19% orderers (3)
3.04% 1st time (48)","0.32% orderers (5)
2.97% 1st time (47)","0.38% orderers (6)
2.78% 1st time (44)","0.19% orderers (3)
2.91% 1st time (46)","0.25% orderers (4)
2.53% 1st time (40)","0.19% orderers (3)
3.48% 1st time (55)","0.19% orderers (3)
3.48% 1st time (55)","0.25% orderers (4)
2.34% 1st time (37)","0.13% orderers (2)
2.28% 1st time (36)","0.19% orderers (3)
1.96% 1st time (31)","0.06% orderers (1)
0.89% 1st time (14)"
01/11/15 - 01/17/15,2298 customers,"1.04% orderers (24)
7.44% 1st time (171)","1.13% orderers (26)
6.35% 1st time (146)","0.7% orderers (16)
4.18% 1st time (96)","0.65% orderers (15)
4.26% 1st time (98)","0.48% orderers (11)
3.09% 1st time (71)","0.52% orderers (12)
2.96% 1st time (68)","0.83% orderers (19)
4.18% 1st time (96)","1.13% orderers (26)
3.57% 1st time (82)","0.65% orderers (15)
3.57% 1st time (82)","0.83% orderers (19)
3.96% 1st time (91)","0.7% orderers (16)
2.61% 1st time (60)","0.52% orderers (12)
3.13% 1st time (72)","0.65% orderers (15)
2.79% 1st time (64)","0.57% orderers (13)
2.48% 1st time (57)","0.44% orderers (10)
2.96% 1st time (68)","0.48% orderers (11)
2.61% 1st time (60)","0.65% orderers (15)
2.52% 1st time (58)","0.39% orderers (9)
2.79% 1st time (64)","0.7% orderers (16)
2.61% 1st time (60)","0.39% orderers (9)
2.48% 1st time (57)","0.57% orderers (13)
2.57% 1st time (59)","0.35% orderers (8)
2.61% 1st time (60)","0.61% orderers (14)
2.52% 1st time (58)","0.48% orderers (11)
2.31% 1st time (53)","0.35% orderers (8)
2.09% 1st time (48)","0.04% orderers (1)
1.52% 1st time (35)"
01/04/15 - 01/10/15,1076 customers,"0.84% orderers (9)
8.27% 1st time (89)","0.65% orderers (7)
5.58% 1st time (60)","0.65% orderers (7)
5.2% 1st time (56)","1.12% orderers (12)
5.3% 1st time (57)","0.09% orderers (1)
4.09% 1st time (44)","0.74% orderers (8)
2.97% 1st time (32)","0.56% orderers (6)
3.81% 1st time (41)","0.19% orderers (2)
3.62% 1st time (39)","0.56% orderers (6)
4.09% 1st time (44)","0.09% orderers (1)
2.42% 1st time (26)","0.37% orderers (4)
3.25% 1st time (35)","0.19% orderers (2)
1.95% 1st time (21)","0.28% orderers (3)
2.97% 1st time (32)",2.32% 1st time (25),"1.12% orderers (12)
3.53% 1st time (38)","0.28% orderers (3)
3.16% 1st time (34)","0.56% orderers (6)
3.35% 1st time (36)","0.46% orderers (5)
1.95% 1st time (21)","0.09% orderers (1)
2.88% 1st time (31)","0.19% orderers (2)
2.42% 1st time (26)","0.37% orderers (4)
2.14% 1st time (23)","0.09% orderers (1)
2.32% 1st time (25)","0.28% orderers (3)
2.6% 1st time (28)","0.74% orderers (8)
4.09% 1st time (44)",2.32% 1st time (25),"0.09% orderers (1)
2.23% 1st time (24)",0.56% 1st time (6)
12/31/14 - 01/03/15,176 customers,"2.84% orderers (5)
9.09% 1st time (16)","0.57% orderers (1)
3.41% 1st time (6)",4.55% 1st time (8),"0.57% orderers (1)
3.98% 1st time (7)","1.14% orderers (2)
4.55% 1st time (8)","1.14% orderers (2)
4.55% 1st time (8)",2.27% 1st time (4),"0.57% orderers (1)
2.84% 1st time (5)","0.57% orderers (1)
2.84% 1st time (5)","0.57% orderers (1)
3.41% 1st time (6)",0.57% 1st time (1),"1.14% orderers (2)
1.7% 1st time (3)",3.41% 1st time (6),"0.57% orderers (1)
2.27% 1st time (4)","1.7% orderers (3)
1.7% 1st time (3)","1.14% orderers (2)
2.27% 1st time (4)","2.84% orderers (5)
3.41% 1st time (6)","0.57% orderers (1)
1.14% 1st time (2)","2.27% orderers (4)
3.41% 1st time (6)","1.14% orderers (2)
2.27% 1st time (4)","0.57% orderers (1)
1.14% 1st time (2)","0.57% orderers (1)
2.27% 1st time (4)","0.57% orderers (1)
1.14% 1st time (2)","1.7% orderers (3)
1.7% 1st time (3)","1.14% orderers (2)
2.84% 1st time (5)",1.14% 1st time (2),"0.57% orderers (1)
1.14% 1st time (2)",0.57% 1st time (1)
